宿主机,虚拟机,系统,状态,IP地址,内存,CPU,存储
host-25,shqh2-01,,poweredOff,,0 MB ,0 vCPU(s) ,13.9GB
host-25,yundao-kafka1,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,4.4GB
host-25,shqh2-02,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,15.3GB
host-25,vCLS (6),Other 3.x or later Linux (64-bit),poweredOn,,128 MB ,1 vCPU(s) ,1.1GB
host-25,RH436-05,,poweredOff,,0 MB ,0 vCPU(s) ,45.5GB
host-25,yundao-backup1,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,384.0MB
host-25,student19,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-25,shqh2-39,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,12.9GB
host-25,student04,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,7.0GB
host-25,DO447-03,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,54.9GB
host-25,openstack-IN-kvm-Template,CentOS 7 (64-bit),poweredOff,,16384 MB ,4 vCPU(s) ,49.5GB
host-25,shqh2-47,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.2GB
host-25,student08,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-25,CEPH125-04,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,44.2GB
host-25,shqh2-09,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.3GB
host-25,shqh2-34,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.5GB
host-25,yunwang-k8s01,CentOS 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,12.4GB
host-25,student15,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-25,shqh2-18,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.4GB
host-25,student12,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-25,yunyan-node03,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,3.8GB
host-25,yunju-node04,,poweredOff,,0 MB ,0 vCPU(s) ,5.5GB
host-25,RH436-15,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,37.6GB
host-25,student25,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-25,yundao-redis1,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,4.1GB
host-25,centos7-base,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,2.6GB
host-25,student41,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.3GB
host-25,python-test3,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,2.8GB
host-25,shqh2-13,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.2GB
host-33,student31,,poweredOff,,0 MB ,0 vCPU(s) ,6.3GB
host-33,student27,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-33,shqh2-37,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.7GB
host-33,shqh2-27,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.8GB
host-33,yunyi-01,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,165.6GB
host-33,yundao-k8snode3,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,3.4GB
host-33,student34,,poweredOff,,0 MB ,0 vCPU(s) ,6.3GB
host-33,shqh2-20,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.7GB
host-33,DO447-05,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,54.9GB
host-33,CEPH125-06,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,42.7GB
host-33,RH436-17,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,43.0GB
host-33,RH436-07,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,21.3GB
host-33,yunyan-node01,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,17.4GB
host-33,yundao-harbor,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,3.4GB
host-33,yunju-node01,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,22.0GB
host-50,yundao-nginx,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,7.1GB
host-50,yunyan-node06,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,5.2GB
host-50,yunyan-node09,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,4.0GB
host-50,yunju-node07,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,4.5GB
host-50,yundao-nfs,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,14.9GB
host-50,RH436-19,,poweredOff,,0 MB ,0 vCPU(s) ,37.4GB
host-50,shqh2-30,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.7GB
host-50,shqh2-12,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.1GB
host-50,yundao-artifatory,CentOS 7 (64-bit),poweredOff,,16384 MB ,8 vCPU(s) ,3.4GB
host-50,student18,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,5.8GB
host-50,shqh2-15,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,14.1GB
host-50,student29,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-50,shqh2-23,Red Hat Enterprise Linux 7 (64-bit),poweredOff,,4096 MB ,2 vCPU(s) ,1.3GB
host-50,CEPH125-09,Red Hat Enterprise Linux 8 (64-bit),poweredOff,,32768 MB ,4 vCPU(s) ,66.3GB
host-50,student05,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
host-50,student03,CentOS 7 (64-bit),poweredOff,,1024 MB ,1 vCPU(s) ,6.9GB
